Name,Image URL,Price,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
Intel Core 2 Duo E6550,//cdna.pcpartpicker.com/static/forever/images/product/0354bc5818ac58069358e5324d7b4cc1.256p.jpg,$89.95 ,Intel,HH80557PJ0534MG,Intel Core 2 Duo,Core,Conroe,LGA775,2,2.33 GHz,,,,4 MB,0 MB,65 W,None,,No,No,OEM/Tray,65 nm,No,No
Intel Core i7-965 Extreme Edition,https://images-na.ssl-images-amazon.com/images/I/51wo3t7KK-L.jpg,,Intel,BX80601965,Intel Core i7 Extreme,Nehalem,Bloomfield,LGA1366,4,3.2 GHz,,,,1 MB,8 MB,130 W,None,,No,Yes,Boxed,45 nm,Yes,Yes: Hyper-Threading
Intel Core 2 Quad Q9650,/static/forever/img/no-image.png,,Intel,AT80569PJ080N,Intel Core 2 Quad,Yorkfield,Yorkfield,LGA775,4,3 GHz,,,,12 MB,0 MB,95 W,None,,No,No,OEM/Tray,45 nm,No,No
AMD Phenom II X4 965,/static/forever/img/no-image.png,,AMD,HDX965FBK4DGM,AMD Phenom II X4,K10,Deneb,AM3,4,3.4 GHz,,,,2 MB,6 MB,125 W,None,,No,No,OEM/Tray,45 nm,No,No
AMD Athlon II X2 270,https://images-na.ssl-images-amazon.com/images/I/418v-XL-zjL.jpg,,AMD,ADX270OCGMBOX,AMD Athlon II X2,K10,Regor,AM3,2,3.4 GHz,,,,2 MB,0 MB,65 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Pentium G640T,https://m.media-amazon.com/images/I/214i0ydjrhL.jpg,$84.88 ,Intel,BX80623G640T,Intel Pentium,Sandy Bridge,Sandy Bridge,LGA1155,2,2.4 GHz,,,,0.5 MB,3 MB,35 W,Intel HD Graphics,,No,Yes,Boxed,32 nm,Yes,No
AMD A10-5700,/static/forever/img/no-image.png,,AMD,AD5700OKHJBOX,AMD A10,Piledriver,Trinity,FM2,4,3.4 GHz,,,,4 MB,0 MB,65 W,Radeon HD 7660D,,No,Yes,Boxed,32 nm,Yes,No
AMD Athlon II X4 651K,https://images-na.ssl-images-amazon.com/images/I/4109K75cNWL.jpg,,AMD,AD651KWNGXBOX,AMD Athlon II X4,Lynx,Llano,FM1,4,3 GHz,,,,4 MB,0 MB,100 W,None,,No,Yes,Boxed,32 nm,Yes,No
Intel Xeon E3-1235,https://images-na.ssl-images-amazon.com/images/I/51CiV9l89cL.jpg,$219.00 ,Intel,BX80623E31235,Intel Xeon E3,Sandy Bridge,Sandy Bridge,LGA1155,4,3.2 GHz,,,,1 MB,8 MB,95 W,Intel HD Graphics,,Yes,Yes,Boxed,32 nm,Yes,Yes: Hyper-Threading
Intel Core i5-3340S,https://images-na.ssl-images-amazon.com/images/I/51sMI3re3DL.jpg,,Intel,BX80637I53340S,Intel Core i5,Ivy Bridge,Ivy Bridge,LGA1155,4,2.8 GHz,3.3 GHz,,,1 MB,6 MB,65 W,Intel HD Graphics 2500,,No,Yes,Boxed,22 nm,Yes,No
Intel Xeon E5-2620 V2,//cdna.pcpartpicker.com/static/forever/images/product/3566a2b4f938d244ff5555cc5ad8fd52.256p.jpg,,Intel,BX80635E52620V2,Intel Xeon E5,Ivy Bridge,Ivy Bridge-EP,LGA2011,6,2.1 GHz,2.6 GHz,,,1.5 MB,15 MB,80 W,None,,Yes,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Pentium G3240,//cdna.pcpartpicker.com/static/forever/images/product/af0ccff8c065777cd0c6a02cc05574c1.med.256p.jpg,,Intel,BX80646G3240,Intel Pentium,Haswell Refresh,Haswell Refresh,LGA1150,2,3.1 GHz,,,,0.5 MB,3 MB,53 W,Intel HD Graphics,,No,Yes,Boxed,22 nm,Yes,No
AMD Opteron 6378,https://m.media-amazon.com/images/I/41q6iQvNUFL.jpg,,AMD,OS6378WKTGGHK,AMD Opteron,Piledriver,Abu Dhabi,G34,16,2.4 GHz,3.3 GHz,,,16 MB,16 MB,115 W,None,,No,No,OEM/Tray,32 nm,No,No
AMD A10-7890K,/static/forever/img/no-image.png,,AMD,AD789KXDI44JC,AMD A10,Steamroller,Godavari,FM2+,4,4.1 GHz,4.3 GHz,,,4 MB,0 MB,95 W,Radeon R7 (on-die),,No,No,OEM/Tray,28 nm,No,No
AMD Athlon X4 870K,//cdna.pcpartpicker.com/static/forever/images/product/3a57398776bd40ee7febd04618eda23c.256p.jpg,,AMD,AD870KXBJCSBX,AMD Athlon X4,Steamroller,Godavari,FM2+,4,3.9 GHz,4.1 GHz,,,4 MB,0 MB,95 W,None,,No,Yes,Boxed,28 nm,Yes,No
Intel Pentium G4560T,//cdna.pcpartpicker.com/static/forever/images/product/16c61bbd0b29eb900a2de515a15a5695.256p.jpg,,Intel,CM8067703016117,Intel Pentium,Kaby Lake,Kaby Lake-S,LGA1151,2,2.9 GHz,,,,0.5 MB,3 MB,35 W,Intel HD Graphics 610,64 GB,Yes,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Xeon E5-2430V2,https://m.media-amazon.com/images/I/51RRp6gKSyL.jpg,,Intel,BX80634E52430V2,Intel Xeon E5,Ivy Bridge,Ivy Bridge-EN,LGA1356,6,2.5 GHz,3 GHz,,,1.5 MB,15 MB,80 W,None,384 GB,Yes,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Core i7-9800X,//cdna.pcpartpicker.com/static/forever/images/product/876ed5cb8495b244ed3a4264e9e7d423.256p.jpg,,Intel,CD8067304126100,Intel Core i7,Skylake,Skylake-X,LGA2066,8,3.8 GHz,4.5 GHz,,,8 MB,16.5 MB,165 W,None,128 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Core i5-9500F,//cdna.pcpartpicker.com/static/forever/images/product/f4137a480bf61e69b6d83e150a0afb01.256p.jpg,,Intel,CM8068403362616,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,3 GHz,4.4 GHz,,,1.5 MB,9 MB,65 W,None,128 GB,No,No,OEM/Tray,14 nm,No,No
Intel Xeon E-2104G,//cdna.pcpartpicker.com/static/forever/images/product/9e4c9cf1a501c1721f5bdd971ea2c851.256p.jpg,$589.00 ,Intel,CM8068403653917,Intel Xeon E,Coffee Lake,Coffee Lake,LGA1151,4,3.2 GHz,,,,1 MB,8 MB,65 W,Intel HD Graphics P630,64 GB,Yes,No,OEM/Tray,14 nm,No,No
Intel Pentium G4620,https://m.media-amazon.com/images/I/51ycqO0kOvL.jpg,$224.12 ,Intel,CM8067703015524,Intel Pentium,Kaby Lake,Kaby Lake-S,LGA1151,2,3.7 GHz,,,,0.5 MB,3 MB,51 W,Intel HD Graphics 630,64 GB,Yes,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
AMD Phenom II X4 925,https://m.media-amazon.com/images/I/51HWyPr66UL.jpg,,AMD,HDX925WFGMBOX,AMD Phenom II X4,K10,Deneb,AM3,4,2.8 GHz,,,,2 MB,6 MB,95 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Celeron E1600,/static/forever/img/no-image.png,,Intel,BX80557E1600,Intel Celeron,Core,Conroe,LGA775,2,2.4 GHz,,,,0.5 MB,0 MB,65 W,None,,No,Yes,Boxed,65 nm,Yes,No
Intel Pentium E2180,https://images-na.ssl-images-amazon.com/images/I/51atJ7BrcVL.jpg,,Intel,BX80557E2180,Intel Pentium,Core,Conroe,LGA775,2,2 GHz,,,,1 MB,0 MB,65 W,None,,No,Yes,Boxed,65 nm,Yes,No
AMD Athlon II X4 645,https://images-na.ssl-images-amazon.com/images/I/41X5o7vcN-L.jpg,,AMD,ADX645WFGMBOX,AMD Athlon II X4,K10,Propus,AM3,4,3.1 GHz,,,,2 MB,0 MB,95 W,None,,No,Yes,Boxed,45 nm,Yes,No
AMD Sempron 145,/static/forever/img/no-image.png,,AMD,SDX145HBGMBOX,AMD Sempron,K10,Sargas,AM3,1,2.8 GHz,,,,1 MB,0 MB,45 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Core i5-2405S,https://images-na.ssl-images-amazon.com/images/I/51W4ZortllL.jpg,,Intel,BX80623I52405S,Intel Core i5,Sandy Bridge,Sandy Bridge,LGA1155,4,2.5 GHz,,,,1 MB,6 MB,65 W,Intel HD Graphics 3000,,No,Yes,Boxed,32 nm,Yes,No
AMD FX-8100,/static/forever/img/no-image.png,,AMD,FD8100WMW8KGU,AMD FX,Bulldozer,Zambezi,AM3+,8,2.8 GHz,,,,8 MB,8 MB,95 W,None,,No,No,OEM/Tray,32 nm,No,No
AMD FX-4170,https://images-na.ssl-images-amazon.com/images/I/31i%2BVy1232L.jpg,,AMD,FD4170FRGUBOX,AMD FX,Bulldozer,Zambezi,AM3+,4,4.2 GHz,,,,4 MB,8 MB,125 W,None,,No,Yes,Boxed,32 nm,Yes,No
Intel Pentium G3440,https://m.media-amazon.com/images/I/51B8bGcA8TL.jpg,,Intel,BX80646G3440,Intel Pentium,Haswell Refresh,Haswell Refresh,LGA1150,2,3.3 GHz,,,,0.5 MB,3 MB,53 W,Intel HD Graphics,,No,Yes,Boxed,22 nm,Yes,No
AMD FX-4100,https://m.media-amazon.com/images/I/211-QmJzPuL.jpg,,AMD,FD4100WMW4KGU,AMD FX,Bulldozer,Zambezi,AM3+,4,3.6 GHz,,,,4 MB,8 MB,95 W,None,,No,No,OEM/Tray,32 nm,No,No
Intel Xeon E5-2637 V2,//cdna.pcpartpicker.com/static/forever/images/product/fbdd6ae8942991f3c7f4501eb290999a.med.256p.jpg,,Intel,CM8063501520800,Intel Xeon E5,Ivy Bridge,Ivy Bridge-EP,LGA2011,4,3.5 GHz,3.8 GHz,,,1 MB,15 MB,130 W,None,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
AMD Pro A10-7800B,/static/forever/img/no-image.png,,AMD,AD780BYBI44JA,AMD A10,Steamroller,Kaveri,FM2+,4,3.5 GHz,3.9 GHz,,,4 MB,0 MB,65 W,Radeon R7 (on-die),,No,No,OEM/Tray,28 nm,No,No
AMD A4-7300,https://m.media-amazon.com/images/I/41Wp6wg5vsL.jpg,,AMD,AD7300OKHLBOX,AMD A4,Piledriver,Richland,FM2,2,3.8 GHz,4 GHz,,,1 MB,0 MB,65 W,Radeon HD 8470D,,No,Yes,Boxed,32 nm,Yes,No
AMD A10-7860k,/static/forever/img/no-image.png,,AMD,AD786KYBI44JC,AMD A10,Steamroller,Godavari,FM2+,4,3.6 GHz,4 GHz,,,4 MB,0 MB,65 W,Radeon R7 (on-die),,No,No,OEM/Tray,28 nm,No,No
Intel Core i7-6900K,/static/forever/img/no-image.png,,Intel,BXC80671I76900K,Intel Core i7,Broadwell,Broadwell-E,LGA2011-3,8,3.2 GHz,3.7 GHz,,,2 MB,20 MB,140 W,None,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i3-7300T,https://m.media-amazon.com/images/I/41QBIqWIoCL.jpg,$128.46 ,Intel,BXC80677I37300T,Intel Core i3,Kaby Lake,Kaby Lake-S,LGA1151,2,3.5 GHz,,,,0.5 MB,4 MB,35 W,Intel HD Graphics 630,64 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
AMD A8-7670K,//cdna.pcpartpicker.com/static/forever/images/product/fab40664f5f2cefbf2612c234817e3e8.256p.jpg,,AMD,AD767KXBJCSBX,AMD A8,Steamroller,Godavari,FM2+,4,3.6 GHz,3.9 GHz,,,4 MB,0 MB,95 W,Radeon R7 (on-die),,No,Yes,Boxed,28 nm,Yes,No
Intel Core 2 Duo E8400,https://m.media-amazon.com/images/I/4161CeN+g3L.jpg,$168.14 ,Intel,BX80570E8400,Intel Core 2 Duo,Wolfdale,Wolfdale,LGA775,2,3 GHz,,,,6 MB,0 MB,65 W,None,,No,Yes,Boxed,45 nm,Yes,No
Intel Core i5-4670K,//cdna.pcpartpicker.com/static/forever/images/product/73e19374dc737ba0b428203d85c24a78.256p.jpg,$62.00 ,Intel,BX80646I54670K,Intel Core i5,Haswell,Haswell,LGA1150,4,3.4 GHz,,,,1 MB,6 MB,84 W,Intel HD Graphics 4600,,No,Yes,Boxed,22 nm,Yes,No
Intel Core i7-2600,https://m.media-amazon.com/images/I/511EMznII9L.jpg,,Intel,BX80623I72600,Intel Core i7,Sandy Bridge,Sandy Bridge,LGA1155,4,3.4 GHz,,,,1 MB,8 MB,95 W,Intel HD Graphics 2000,,No,Yes,Boxed,32 nm,Yes,Yes: Hyper-Threading
Intel Core i3-7100,https://images-eu.ssl-images-amazon.com/images/I/511mRxIv4GL.jpg,$70.00 ,Intel,BX80677I37100,Intel Core i3,Kaby Lake,Kaby Lake-S,LGA1151,2,3.9 GHz,,,,0.5 MB,3 MB,51 W,Intel HD Graphics 630,64 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i7-4790K,https://images-na.ssl-images-amazon.com/images/I/514cOpqlw3L.jpg,$185.00 ,Intel,CM8064601710501,Intel Core i7,Haswell Refresh,Haswell Refresh,LGA1150,4,4 GHz,4.4 GHz,,,1 MB,8 MB,88 W,Intel HD Graphics 4600,,No,Yes,OEM/Tray,22 nm,Yes,Yes: Hyper-Threading
Intel Xeon E5-2630,https://m.media-amazon.com/images/I/51j+GeVD5YL.jpg,$24.32 ,Intel,BX80621E52630,Intel Xeon E5,Sandy Bridge,Sandy Bridge-EP,LGA2011,6,2.3 GHz,,,,1.5 MB,15 MB,95 W,None,,Yes,No,Boxed,32 nm,No,Yes: Hyper-Threading
Intel 300,//cdna.pcpartpicker.com/static/forever/images/product/1d072056abc0a7b42cdb8db787cb145d.256p.jpg,$88.10 ,Intel,BX80715300,Intel Processor,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,2,3.9 GHz,,,,2.5 MB,6 MB,46 W,Intel UHD Graphics 710,192 GB,Yes,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i5-7600,//cdna.pcpartpicker.com/static/forever/images/product/0c2441d24af10b2aff285308b4e32d03.256p.jpg,$89.00 ,Intel,BX80677I57600,Intel Core i5,Kaby Lake,Kaby Lake-S,LGA1151,4,3.5 GHz,4.1 GHz,,,1 MB,6 MB,65 W,Intel HD Graphics 630,64 GB,No,Yes,Boxed,14 nm,Yes,No
Intel Core i5-3570K,https://m.media-amazon.com/images/I/51wwy3uSBOL.jpg,$116.49 ,Intel,"BX80637I53570K, BX806237I53570K",Intel Core i5,Ivy Bridge,Ivy Bridge,LGA1155,4,3.4 GHz,,,,1 MB,6 MB,77 W,Intel HD Graphics 4000,,No,Yes,Boxed,22 nm,Yes,No
Intel Core i7-2600K,https://images-na.ssl-images-amazon.com/images/I/51bCM4jw7oL.jpg,$85.00 ,Intel,BX80623I72600K,Intel Core i7,Sandy Bridge,Sandy Bridge,LGA1155,4,3.4 GHz,,,,1 MB,8 MB,95 W,Intel HD Graphics 3000,,No,Yes,Boxed,32 nm,Yes,Yes: Hyper-Threading
Intel Core i3-6100,https://m.media-amazon.com/images/I/51m7931xzhL.jpg,$100.00 ,Intel,BX80662I36100,Intel Core i3,Skylake,Skylake-S,LGA1151,2,3.7 GHz,,,,0.5 MB,3 MB,51 W,Intel HD Graphics 530,64 GB,Yes,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i9-11900F,//cdna.pcpartpicker.com/static/forever/images/product/4661b942055a470174e1a056c3e6c042.256p.jpg,$210.00 ,Intel,BX8070811900F,Intel Core i9,Rocket Lake,Rocket Lake-S,LGA1200,8,2.5 GHz,5.2 GHz,,,4 MB,16 MB,65 W,None,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i7-8700K,//cdna.pcpartpicker.com/static/forever/images/product/4c66195cca0b7d335a79c8649245abfa.256p.jpg,$272.50 ,Intel,CM8068403358220,Intel Core i7,Coffee Lake,Coffee Lake,LGA1151,6,3.7 GHz,4.7 GHz,,,1.5 MB,12 MB,95 W,Intel UHD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Xeon E5-2683 V4,//cdna.pcpartpicker.com/static/forever/images/product/acbbf09e0391f7599810e37d7ed1f9de.256p.jpg,"$1,998.95 ",Intel,BX80660E52683V4,Intel Xeon E5,Broadwell,Broadwell-EP,LGA2011-3,16,2.1 GHz,3 GHz,,,4 MB,40 MB,120 W,None,1536 GB,Yes,No,Boxed,14 nm,No,Yes: Hyper-Threading
AMD Ryzen 9 PRO 7945,//cdna.pcpartpicker.com/static/forever/images/product/0060e87b1c0093626f67e76793e68c41.256p.jpg,,AMD,100-000000598,AMD Ryzen 9 PRO,Zen 4,Raphael,AM5,12,3.7 GHz,5.4 GHz,,,12 MB,64 MB,65 W,Radeon,128 GB,Yes,No,OEM/Tray,5 nm,No,Yes
Intel Core i5-10500,//cdna.pcpartpicker.com/static/forever/images/product/bc6d01e56cc2c1813982ca841d3e7ae1.256p.jpg,$238.99 ,Intel,BX8070110500,Intel Core i5,Comet Lake,Comet Lake,LGA1200,6,3.1 GHz,4.5 GHz,,,1.5 MB,12 MB,65 W,Intel UHD Graphics 630,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
AMD Threadripper 1920X,//cdna.pcpartpicker.com/static/forever/images/product/dfb011931e97f85c79165ed9e97aec59.256p.jpg,$270.00 ,AMD,YD192XA8AEWOF,AMD Threadripper,Zen,Whitehaven,sTR4,12,3.5 GHz,4 GHz,,,6 MB,32 MB,180 W,None,1024 GB,Yes,No,Boxed,14 nm,No,Yes
AMD Athlon II X2 240,/static/forever/img/no-image.png,$29.48 ,AMD,ADX240OCK23GQ,AMD Athlon II X2,K10,Regor,AM3,2,2.8 GHz,,,,2 MB,0 MB,65 W,None,,No,No,OEM/Tray,45 nm,No,No
AMD Ryzen 3 3200G,//cdna.pcpartpicker.com/static/forever/images/product/1367e7b7cd727836ed3685b95c2be94e.256p.jpg,,AMD,YD3200C5M4MFH,AMD Ryzen 3,Zen+,Picasso,AM4,4,3.6 GHz,4 GHz,,,2 MB,4 MB,65 W,Radeon Vega 8,64 GB,No,No,OEM/Tray,12 nm,No,No
Intel Core i7-6900K,//cdna.pcpartpicker.com/static/forever/images/product/8f6d753be524daf5a9c04d9131cb6f27.256p.jpg,$120.00 ,Intel,BX80671I76900K,Intel Core i7,Broadwell,Broadwell-E,LGA2011-3,8,3.2 GHz,3.7 GHz,,,2 MB,20 MB,140 W,None,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i7-6800K,//cdna.pcpartpicker.com/static/forever/images/product/6a1373e54fbd08524d23f61ac7eb9711.256p.jpg,$103.00 ,Intel,BX80671I76800K,Intel Core i7,Broadwell,Broadwell-E,LGA2011-3,6,3.4 GHz,3.6 GHz,,,1.5 MB,15 MB,140 W,None,,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Celeron G4900,//cdna.pcpartpicker.com/static/forever/images/product/67d6c57eae5170d56282ab69bf97d70b.256p.jpg,$48.59 ,Intel,CM8068403378112,Intel Celeron,Coffee Lake,Coffee Lake,LGA1151,2,3.1 GHz,,,,0.5 MB,2 MB,65 W,Intel UHD Graphics 610,64 GB,Yes,No,OEM/Tray,14 nm,No,No
Intel Pentium Gold G7400,//cdna.pcpartpicker.com/static/forever/images/product/eb5f4691a0ee2ac68328fbedd3956538.256p.jpg,$102.75 ,Intel,BX80715G7400,Intel Pentium Gold,Alder Lake,Alder Lake,LGA1700,2,3.7 GHz,,,,2.5 MB,6 MB,46 W,Intel UHD Graphics 710,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i5-12600,//cdna.pcpartpicker.com/static/forever/images/product/7a8133e4d1ab12830ce867e2958bbc2b.256p.jpg,$334.17 ,Intel,BX8071512600,Intel Core i5,Alder Lake,Alder Lake,LGA1700,6,3.3 GHz,4.8 GHz,,,7.5 MB,18 MB,65 W,Intel UHD Graphics 770,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i7-5820K,https://m.media-amazon.com/images/I/51pPTqeTiRL.jpg,,Intel,BX80648I75820K,Intel Core i7,Haswell,Haswell-E,LGA2011-3,6,3.3 GHz,3.6 GHz,,,1.5 MB,15 MB,140 W,None,64 GB,No,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Pentium G640,https://m.media-amazon.com/images/I/41Gl0OxUH8L.jpg,$30.00 ,Intel,BX80623G640,Intel Pentium,Sandy Bridge,Sandy Bridge,LGA1155,2,2.8 GHz,,,,0.5 MB,3 MB,65 W,Intel HD Graphics,,No,Yes,Boxed,32 nm,Yes,No
Intel Core i9-9900K,//cdna.pcpartpicker.com/static/forever/images/product/f4d973b5641fed5e6a0ea0116fcd3426.256p.jpg,$699.99 ,Intel,CM8068403873914,Intel Core i9,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,8,3.6 GHz,5 GHz,,,2 MB,16 MB,95 W,Intel UHD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Core i5-2500K,https://images-na.ssl-images-amazon.com/images/I/51iunH%2BDgEL.jpg,,Intel,BX80623I52500K,Intel Core i5,Sandy Bridge,Sandy Bridge,LGA1155,4,3.3 GHz,,,,0.5 MB,6 MB,95 W,Intel HD Graphics 3000,,No,Yes,Boxed,32 nm,Yes,No
Intel Core 2 Duo E8400,/static/forever/img/no-image.png,$27.55 ,Intel,EU80570PJ0806M,Intel Core 2 Duo,Wolfdale,Wolfdale,LGA775,2,3 GHz,,,,6 MB,0 MB,65 W,None,,No,No,OEM/Tray,45 nm,No,No
AMD Athlon X4 845,https://m.media-amazon.com/images/I/41lAflzkpEL.jpg,$50.00 ,AMD,AD845XACKASBX,AMD Athlon X4,Puma+,Carrizo,FM2+,4,3.5 GHz,3.8 GHz,,,1 MB,0 MB,65 W,None,,No,Yes,Boxed,28 nm,Yes,No
Intel Xeon E5-2650 V4,//cdna.pcpartpicker.com/static/forever/images/product/fe223eeb7f193ce69814603b89175472.256p.jpg,,Intel,BX80660E52650V4,Intel Xeon E5,Broadwell,Broadwell-EP,LGA2011-3,12,2.2 GHz,2.9 GHz,,,3 MB,30 MB,105 W,None,1536 GB,Yes,No,Boxed,14 nm,No,Yes: Hyper-Threading
AMD Threadripper 1950X,https://m.media-amazon.com/images/I/51hzN4DjiDL.jpg,$917.87 ,AMD,YD195XA8AEWOF,AMD Threadripper,Zen,Whitehaven,sTR4,16,3.4 GHz,4 GHz,,,8 MB,32 MB,180 W,None,1024 GB,Yes,No,Boxed,14 nm,No,Yes
Intel Core i5-9400F,//cdna.pcpartpicker.com/static/forever/images/product/04f08a1dee17429cdf0a6021ebe5351d.256p.jpg,,Intel,CM8068403358819,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,2.9 GHz,4.1 GHz,,,1.5 MB,9 MB,65 W,None,128 GB,No,No,OEM/Tray,14 nm,No,No
Intel Core i7-4930K,//cdna.pcpartpicker.com/static/forever/images/product/a1466e1823404679892cb38473e6c5fd.256p.jpg,$100.00 ,Intel,BX80633I74930K,Intel Core i7,Ivy Bridge,Ivy Bridge-E,LGA2011,6,3.4 GHz,3.9 GHz,,,1.5 MB,12 MB,130 W,None,,No,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Core i9-12900F,//cdna.pcpartpicker.com/static/forever/images/product/c709a7db2862582c1870c1b399fd7499.256p.jpg,$432.99 ,Intel,BX8071512900F,Intel Core i9,Alder Lake,Alder Lake,LGA1700,16,2.4 GHz,5.1 GHz,1.8 GHz,3.8 GHz,14 MB,30 MB,65 W,None,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i5-9500,https://images-eu.ssl-images-amazon.com/images/I/418Vdl99UyL.jpg,$160.72 ,Intel,BX80684I59500,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,3 GHz,4.4 GHz,,,1.5 MB,9 MB,65 W,Intel UHD Graphics 630,128 GB,No,Yes,Boxed,14 nm,Yes,No
Intel Xeon E5-2640 V3,https://m.media-amazon.com/images/I/51rLr1NagHL.jpg,$67.15 ,Intel,BX80644E52640V3,Intel Xeon E5,Haswell,Haswell-EP,LGA2011-3,8,2.6 GHz,3.4 GHz,,,2 MB,20 MB,90 W,None,,Yes,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Core i9-10900X,//cdna.pcpartpicker.com/static/forever/images/product/d6ea76d2a63ade5759235829a6d63697.256p.jpg,$615.00 ,Intel,BX8069510900X,Intel Core i9,Cascade Lake,Cascade Lake-X,LGA2066,10,3.7 GHz,4.7 GHz,,,10 MB,19.25 MB,165 W,None,256 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Celeron G4930,//cdna.pcpartpicker.com/static/forever/images/product/823a8232a5aa4f5706c0d28b5c69a9c9.256p.jpg,$48.75 ,Intel,BX80684G4930,Intel Celeron,Coffee Lake,Coffee Lake,LGA1151,2,3.2 GHz,,,,0.5 MB,2 MB,54 W,Intel UHD Graphics 610,64 GB,Yes,Yes,Boxed,14 nm,Yes,No
Intel Core i3-4150,https://m.media-amazon.com/images/I/51aP8famPoL.jpg,$41.13 ,Intel,BX80646I34150,Intel Core i3,Haswell Refresh,Haswell Refresh,LGA1150,2,3.5 GHz,,,,0.5 MB,3 MB,54 W,Intel HD Graphics 4400,,Yes,Yes,Boxed,22 nm,Yes,Yes: Hyper-Threading
Intel Core i3-9100,//cdna.pcpartpicker.com/static/forever/images/product/46badc31f619c275800a79476709e08f.256p.jpg,$145.00 ,Intel,BX80684I39100,Intel Core i3,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,4,3.6 GHz,4.2 GHz,,,1 MB,6 MB,65 W,Intel UHD Graphics 630,64 GB,Yes,Yes,Boxed,14 nm,Yes,No
Intel Core i9-12900,//cdna.pcpartpicker.com/static/forever/images/product/b61a0cfda1c9f56fda7c2f91dacd9046.256p.jpg,$458.00 ,Intel,BX8071512900,Intel Core i9,Alder Lake,Alder Lake,LGA1700,16,2.4 GHz,5.1 GHz,1.8 GHz,3.8 GHz,14 MB,30 MB,65 W,Intel UHD Graphics 770,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
AMD 2650,https://m.media-amazon.com/images/I/41RQJGX23GL.jpg,$84.94 ,AMD,SD2650JAHMBOX,AMD Sempron,Jaguar,Kabini,AM1,2,1.45 GHz,,,,1 MB,0 MB,25 W,Radeon HD 8240,,No,Yes,Boxed,28 nm,Yes,No
Intel Celeron 420,https://images-fe.ssl-images-amazon.com/images/I/31%2BzKaYCucL.jpg,$75.44 ,Intel,HH80557RG025512,Intel Celeron,Core,Conroe,LGA775,1,1.6 GHz,,,,0.5 MB,0 MB,35 W,None,,No,No,OEM/Tray,65 nm,No,No
Intel Core i5-11500,//cdna.pcpartpicker.com/static/forever/images/product/ed81b3f4911beef4ee212f49dec938ee.256p.jpg,$146.16 ,Intel,BX8070811500,Intel Core i5,Rocket Lake,Rocket Lake-S,LGA1200,6,2.7 GHz,4.6 GHz,,,3 MB,12 MB,65 W,Intel UHD Graphics 750,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
